year,award,Poster/Oral,first_name,middle_name,last_name,city,country,address
2001,Gentry,Talk,Derek,M.,Johnson,Coral Gables, USA,"Department of Biology, University of Miami, Coral Gables, FL U.S.A."
2002,Gentry,Talk,Elizabeth,A.,Arnorld,Tucson, USA,"Department of Ecology and Evolutionary Biology, University of Arizona,Tucson, Arizona U.S.A."
2002,Gentry,Talk,Zoraida,,Calle,Cali, Colombia,"Agroforestry Systems Area, Center for Research on Sustainable Agricultural Production, Cali, Colombia."
2002,Gentry,Poster,Elma,E.,Kay,St. Louis, USA,"Department of Biology, Saint Louis University, St. Louis, Missouri, U.S.A."
2003,Gentry,Talk,H.,,Krefth,Bonn, Germany,"University of Bonn, Germany"
2003,Gentry,Talk,Maria,,Del Carnen,San Juan, Puerto Rico,"Department of Biology, University of Puerto Rico, San Juan Puerto Rico"
2004,Gentry,Talk,Nathan,C.,Muchhala,Miami, USA,"University of Miami, Department of Biology, FL, U.S.A."
2004,Gentry,Poster,Carlos,,Garcia-Robledo,Miami, USA,"Department of Biology, University of Miami, FL, U.S.A."
2005,Gentry,Talk,Liliana,,Rios,Ontario, Canada,"Department of Biology, Laurentian University, Sudbury Ontario, Canada"
2005,Gentry,Poster,Thiago,J.,Izzo,Uberlandia, Brazil,"Coordenação de Pesquisa em Ecologia, INPA—Brasil; Universidade Federal de Uberlândia, Brazil"
2005,Baccardi,Talk,Cecília,P.,Alves-Costa,Campinas, Brazil,"Lab. de Interação Vertebrado-Planta, Departamento de Zoologia, IB/UNICAMP. Campinas, SP, Brazil"
2006,Gentry,Talk,Benjamin,C.,Wang,Los Angeles, USA,"Center for Tropical Research & UCLA - Dept. of Ecology and Evolutionary Biology, Los Angeles, CA, U.S.A."
2006,Gentry,Poster,Gang,,Chang,Beijing, USA,"Beisihuanxilu 25, Haidian District, Beijing, China"
2006,Baccardi,Talk,David,P,Bickford,Singapore, Singapore,"National University of Singapore, Singapore"
2007,Gentry,Talk,Alemayehu,,Wassie,Wageningen,Netherlands,"Centre for Ecosystem Studies, Wageningen University and Research Centre, Wageningen, The Netherlands"
2007,Gentry,Poster,Tanya,,Hawley,Miami, USA,"Department of Biology, University of Miami, U.S.A."
2007,Baccardi,Talk,J.,Nicolas,Urbina-Cardona,Mexico City, Mexico,"Instituto de Biologia, UNAM, Mexico"
2008,Gentry,Talk,Maylin,Adriana,Gonzales,Tolouse, France,"Laboratoire d'Evolution et Diversite Biologique, University Paul Sabatier, Toulouse, France"
2008,Gentry,Poster,Elodie,,Courtois,Tolouse, France,"Laboratoire Evolution et Diversité Biologique, Université Paul Sabatier, Toulouse, France"
2008,Baccardi,Talk,Marco,,Mello,São Carlos, Brazil,"Departamento de Botanica, Universidade Federal de Sao Carlos, Brazil"
2009,Gentry,Talk,I-Ching,,Chen,Yunnan, China,"Xishuangbanna Tropical Botanical Garden, Chinese Academy of Sciences. Menglun, Mengla, Yunnan, China"
2009,Gentry,Poster,Ryan,,Bixenmann,Salt Lake City, USA,"Biology Dept., University of Utah, Salt Lake City, U.S.A."
2010,Gentry,Talk,Brian,,Sedio,Ann Arbor, USA,"Department of Ecology and Evolutionary Biology, University of Michigan, U.S.A."
2010,Gentry,Poster,Soumya,,Prasad,Bangalore, India,"Centre for Ecological Sciences, Indian Institute of Science, Bangalore 560012, India"
2010,Baccardi,Talk,Amy,,Rodgers,Quito, Ecuador,"Pinchot Institute for Conservation, Ecuador"
2011,Gentry,Talk,Rebeka,,Hoffmeier,Bowling Green, USA,"Western Kentucky University in Bowling Green, KY, U.S.A."
2011,Gentry,Poster,Emiru,Birhane,Hizikias,Wageningen,Netherlands,"Centre for Ecosystem Studies, Wageningen University and Research Centre,The Netherland"
2011,Baccardi,Talk,Joseph,W.,Veldman,Madison, USA,University of Wisconsin-Madison
2012,Gentry,Talk,Sophie,,Fauvet,West Yorkshire, UK,"School of Geography, University of Leeds, West Yorkshire, UK."
2012,Gentry,Poster,Melbi,,Ramos-Fabiel,Mexico City, Mexico,"UNAM, Mexico"
2012,Baccardi,Talk,Paulo,,Brando,Belém, Brazil,"IPAM, Brazil"
2018,Baccardi,Talk,Evan,,Rehm,Santa Barbara,USA,UCSB
2017,Baccardi,Talk,Catarina,,Jakovac,,Brazil,International Institute of Sustainibility
2016,Baccardi,Talk,Oliver,,Wearn,,UK,Zoological Society of London
2015,Baccardi,Talk,Haldre,,Rogers,Houston,USA,Rice University
2014,Baccardi,Talk,Erin,,Kuprewicz,,USA,Smithsonian Institution
2013,Baccardi,Talk,Tremain,,Gregory,,USA,Smithsonian Institution
2018,Gentry,Poster,Nancy,Alejandra,Flechas-Quintana,Bogota,Colombia,universidad de los Andes
2017,Gentry,Poster,Marta,,Giannichi,,UK,University of Leeds
2016,Gentry,Poster,Adriane,,Esquivel-Muelbert,,,
2015,Gentry,Poster,Gaku,,Amada,,Japan,"Kyoto University, Japan"
2014,Gentry,Poster,Chadtip,,Rodtassana,,UK,"Department of Plant Science, University of Cambridge, UK"
2013,Gentry,Poster,Dulce,,Rodriguez-Morales,,Mexico,D Instituto de Ecología A.C.
2016,Gentry,Poster,William,,Farfan-Rios,,USA,Wake Forest University
2017,Gentry,Poster,Lore,,Verryckt,,Belgium,University of Antwerp
2018,Baccardi,Talk,Elizabeth,,Joyce,,Australia,
2017,Baccardi,Talk,Esteli,,Jimenez-Soto,,USA,
2016,Baccardi,Talk, Mar,,Cartró-Sabaté ,,Spain, Universitat Autonoma de Barcelona
2015,Baccardi,Talk,Anat,,Belasen,,USA," Department of Ecology and Evolutionary Biology Fellow, University of Michigan, Ann Arbor, USA. Article"
2015,Baccardi,Talk,Sarah,Jane,Wilson,,USA," School of Natural Resources and Environment Follow, University of Michigan, Ann Arbor, USA. Article"
2014,Baccardi,Talk,Sean,,Reilly,,USA," Department of Integrative Biology, University of California, Berkeley, USA"
2013,Baccardi,Talk, Maria,Natalia,Umaña ,,USA," Michigan State University, USA"
2018,New Phytologist,Poster, Nancia,,Raoelinjanakolona,,Madagascar, University of Antananarivo
2017,New Phytologist,Poster, Diana,,Cisneros de la Cruz,,,
2016,New Phytologist,Poster, Gabriel,,Damasco,,,
2015,New Phytologist,Poster, Carolyn,,Delevich,,,
2016,Sodhi,Research,Bernardo ,,Flores,,,
