year,first_name,middle_name,last_name,suffix,country,gender,notes
1963,Thomas,,Borgmeier,,Brazil,M,
1963,Angelo,,Moreira da Costa-Lima,,Brazil,M,
1963,Charles,Herbert,Lankester,,Costa Rica,M,
1963,Wilson,Frederik,Popenoe,,Guatemala,M,
1963,Herman,Johannes,Lam,,Netherlands,M,
1963,Henry,Isaac,Burkill,,United Kingdom,M,
1963,Henry,Alan,Gleason,,USA,M,
1963,Alexander,,Wetmore,,USA,M,
1963,William,Henry,Phelps,,Venezuela,M,
1965,Alexandre,Curt,Brade,,Brazil,M,
1965,Lauro,,Travassos,,Brazil,M,
1965,Richard,Eric,Holttum,,United Kingdom,M,
1965,John,,Hutchinson,,United Kingdom,M,1966 or 1965?
1965,Irving,Widmer,Bailey,,USA,M,
1965,Theodosius,Dobzhansky,Dobzhansky,,USA,M,
1966,Walter,,Robyns,,Belgium,M,
1966,Henri,Jean,Humbert,,France,M,
1966,Cornelis,G.G.J.,Van Steenis,,Netherlands,M,
1966,Frans,,Verdoorn,,Netherlands,M,
1966,Joseph,,Bequeart,,USA,M,
1966,Theodore,Huntington,Hubbell,,USA,M,
1966,Harold,Winfred,Manter,,USA,M,
1966,William,Randolph,Taylor,,USA,M,
1967,George,Gaylord,Simpson,,USA,M,
1968,Leonard,John,Brass,,Australia,M,
1968,Martin,,Cárdenas,,Bolivia,M,
1968,Charles,Russell,Metcalfe,,United Kingdom,M,
1968,Owain,W.,Richards,,United Kingdom,M,
1968,David,Daniel,Keck,,USA,M,
1968,Waldo,L.asalle,Schmitt,,USA,M,
1969,Carlos,G.,Aguayo,,Cuba,M,
1969,Jacobus,Van,Van der Vecht,,Netherlands,M,
1969,Lucy,Evelyn,Cheesman,,United Kingdom,F,
1969,Boris,Petrovitch,Uvarov,,United Kingdom,M,
1969,Beatrice,H.,Krauss,,USA,F,
1969,Floyd,Alnzo,McClure,,USA,M,
1969,Alfred,Sherwood,Romer,,USA,M,
1969,Lyman,Bradford,Smith,,USA,M,
1969,Thomas,Elliott,Snyder,,USA,M,
1969,Harold,,St. John,,USA,M,
1970,Salim,,Ali,,India,M,
1970,Joseph,,Lanjouw,,Netherlands,M,
1970,Edred,John Henry,Corner,,United Kingdom,M,
1970,Charles,Edward,Hubbard,,United Kingdom,M,
1970,Robert,Kendall,Enders,,USA,M,
1970,Edwin,Louis,Tyson,,USA,M,
1972,Philip,Jackson,Darlington,Jr.,USA,M,
1972,Ernst,Walter,Mayr,,USA,M,
1973,François,,Bourliere,,France,M,
1973,Charles,Sutherland,Elton,,USA,M,
1973,Bassett,,Maguire,,USA,M,
1973,A.,C.,Smith,,USA,M,Albert Charles
1979,Herald,,Sioli,,Brazil,M,
1982,Herbert,G.,Baker,,USA,M,
1983,Paul,Westmacott,Richards,,United Kingdom,M,
1986,Mildred,Esther,Mathias,,USA,F,
1993,Donald,E.,Stone,,USA,M,
1994,Betty,Jane,Meggers,,USA,F,
1996,José,Aristeo,Sarukhan-Kermez,,Mexico,M,
1998,Thomas,E.,Lovejoy,,USA,M,
1999,Edward,O.,Wilson,,USA,M,
2000,Peter,H.,Raven,,USA,M,
2001,P.,S.,Ramakrishnan,,India,M,
2002,Daniel,H.,Janzen,,USA,M,
2003,Timothy,C.,Whitmore,,United Kingdom,M,
2003,Joseph,H.,Connell,,USA,M,
2004,Kamaljit,S,Bawa,,USA,M,India
2005,Paulo,,Nogueira-Neto,,Brazil,M,
2005,John,W.,Terborgh,,USA,M,
2006,Wu,,Zheng-Yi,,China,M,
2006,Peter,Shaw,Ashton,,United Kingdom,M,
2007,Arturo,,Gomez-Pompa,,Mexico,M,
2007,Ghillean,T.,Prance,,United Kingdom,M,
2008,Louise,H.,Emmons,,USA,F,
2008,Ernesto,,Medina,,Venezuela,M,
2009,Karl-Eduard,,Linsenmair,,Germany,M,
2009,Julie,Sloan,Denslow,,USA,F,
2010,Madhav,,Gadgil,,India,M,
2010,Kuswata,,Kartawinata,,Indonesia,M,
2011,Emmanuel,N.,Chidumayo,,Zambia,M,
2012,Paulo,,Oliveira,,Brazil,M,
2012,Richard,,Primack,,USA,M,
2013,Rodrigo,,Gámez-Lobo,,Costa Rica,M,
2013,Robin,,Foster,,USA,M,
2014,Nigel,,Stork,,Australia,M,
2014,John,,Kress,,USA,M,
2015,Dieter,,Mueller-Dombois,,Germany,M,
2015,Jack,,Ewel,,USA,M,
2016,C.V.,,Savitri-Gunatilleke,,Sri Lanka,F,
2017,Rodolfo,,Dirzo,,USA,M,
2017,Ariel,,Lugo,,USA,M,
2018,Damayanti,,Buchori,,Indonesia,F,
